,時限,教室,回生
0,月1,共西01,全回生
1,月1,4共30,全回生
2,月1,共北3B,主として１・２回生
3,月1,共北21(CALL),２回生以上
4,月1,情報メ地下講義室,全回生
5,月1,共西11,主として１回生
6,月1,共北31,主として１回生
7,月1,共西12,主として１・２回生
8,月1,共北27,主として１・２回生
9,月1,理学部2号館第1講義室,主として１・２回生
10,月1,共南11,主として２回生
11,月1,共東22(CALL),１回生
12,月1,4共24,１回生
13,月1,4共22,１回生
14,月1,共北24(CALL),１回生
15,月1,教育院棟演習室23,１回生
16,月1,1共23,１回生
17,月1,共北33,１回生
18,月1,共北3A,１回生
19,月1,共北11,１回生
20,月1,教育院棟演習室21,１回生
21,月1,共北3D,１回生
22,月1,1共04,１回生
23,月1,共西03,２回生以上
24,月1,共西22,２回生以上
25,月1,教育院棟演習室22,２回生以上
26,月2,共北32,全回生
27,月2,共西31,全回生
28,月2,4共11,全回生
29,月2,1共21,全回生
30,月2,1共03,全回生
31,月2,総人1102,全回生
32,月2,教育院棟講義室32,全回生
33,月2,4共21,全回生
34,月2,教育院棟講義室31,全回生
35,月2,共東42,全回生
36,月2,共西41,全回生
37,月2,4共30,全回生
38,月2,共北21(CALL),２回生以上
39,月2,共東22(CALL),２回生以上
40,月2・木1,1共02,主として１回生
41,月2・木1,共東41,主として１回生
42,月2・木2,1共02,主として１回生
43,月2・木2,共東41,主として１回生
44,月2・水3,共北28,主として１回生
45,月2・水3,共北38,主として１回生
46,月2・水3,共東32,主として１回生
47,月2・水4,共北28,主として１回生
48,月2・水4,共北38,主として１回生
49,月2・水4,共東32,主として１回生
50,月2・水4,共南01,主として１回生
51,月2・水3,共南01,主として１回生
52,月2・木1,1共32,主として１回生
53,月2・木1,共東31,主として１回生
54,月2・木2,1共32,主として１回生
55,月2・木2,共東31,主として１回生
56,月2・水3,共東21,主として１回生
57,月2・水4,共東21,主として１回生
58,月2,共北25,主として２回生
59,月2,4共13,主として１・２回生
60,月2,共南21,主として２回生
61,月2,共北36,主として１・２回生
62,月2,共西12,全回生
63,月2,4共20,主として２回生
64,月2,情報メ地下講義室,主として２回生
65,月2,4共12,主として１・２回生
66,月2,共北24(CALL),１回生
67,月2,4共24,１回生
68,月2,4共22,１回生
69,月2,共西23,１回生
70,月2,教育院棟演習室22,１回生
